Goal,Exam,test_Id,version,Sequence,Section,Section_name,event_info,Answer_given_in_view_solution_API,Is_match_in_nlu,question_code,bloom_level_CG,Question_status_in_cg,category,is_alphanumeric status in CG,Is_any_option_repeating,Answer,Ideal_Time,Spent_Time,Attempt_type,nmarks,pmarks,partial_marking,Spent time in fiber API,t_first_look in fiber,t_last_save in fiber,t_first_look-t_last_save (in seconds),fiber attemptTypeBadge,fiber correctAnswerCsv,user_category,Is Match,Comment
Banking,IBPS PO Prelims,mb43851,9,23,ms117121,Quantitative Aptitude,EM5702953:3.20-en-a,Na,Na,EM5702953:3.20-en,Application,Published,Single Choice,True,No,correct,35,33,Perfect,-0.25,1.0,False,33.0,1610967051,1610967084,33,Perfect,EM5702953:3.20-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,24,ms117121,Quantitative Aptitude,EM5702953:4.20-en-b,Na,Na,EM5702953:4.20-en,Application,Published,Single Choice,True,No,correct,35,3,TooFastCorrect,-0.25,1.0,False,3.0,1610967084,1610967087,3,TooFastCorrect,EM5702953:4.20-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,25,ms117121,Quantitative Aptitude,EM5702953:5.20-en-d,Na,Na,EM5702953:5.20-en,Application,Published,Single Choice,True,No,correct,35,42,OvertimeCorrect,-0.25,1.0,False,42.0,1610967087,1610967129,42,OvertimeCorrect,EM5702953:5.20-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,26,ms117121,Quantitative Aptitude,EM5772135:1.23-en-a,Na,Na,EM5772135:1.23-en,Application,Published,Single Choice,True,No,correct,45,44,Perfect,-0.25,1.0,False,44.0,1610967129,1610967173,44,Perfect,EM5772135:1.23-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,27,ms117121,Quantitative Aptitude,EM5772135:2.23-en-d,Na,Na,EM5772135:2.23-en,Application,Published,Single Choice,True,No,correct,35,27,Perfect,-0.25,1.0,False,27.0,1610967173,1610967200,27,Perfect,EM5772135:2.23-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,28,ms117121,Quantitative Aptitude,EM5772135:3.23-en-a,Na,Na,EM5772135:3.23-en,Application,Published,Single Choice,True,No,incorrect,45,24,Incorrect,-0.25,1.0,False,24.0,1610967200,1610967224,24,Incorrect,EM5772135:3.23-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,29,ms117121,Quantitative Aptitude,EM5772135:4.23-en-a,Na,Na,EM5772135:4.23-en,Application,Published,Single Choice,True,No,correct,30,37,OvertimeCorrect,-0.25,1.0,False,37.0,1610967224,1610967261,37,OvertimeCorrect,EM5772135:4.23-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,30,ms117121,Quantitative Aptitude,,Na,Na,EM5772135:5.23-en,Application,Published,Single Choice,True,Na,skip,35,7,NonAttempt,-0.25,1.0,False,7.0,1610967261,0,47139,NonAttempt,EM5772135:5.23-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,31,ms117121,Quantitative Aptitude,EM5774950:1.14-en-d,Na,Na,EM5774950:1.14-en,Analysis,UAT Accepted,Single Choice,True,No,correct,30,22,Perfect,-0.25,1.0,False,22.0,1610967268,1610967290,22,Perfect,EM5774950:1.14-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,32,ms117121,Quantitative Aptitude,EM5774950:2.14-en-d,Na,Na,EM5774950:2.14-en,Analysis,UAT Accepted,Single Choice,True,No,correct,35,44,OvertimeCorrect,-0.25,1.0,False,44.0,1610967290,1610967334,44,OvertimeCorrect,EM5774950:2.14-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,33,ms117121,Quantitative Aptitude,,Na,Na,EM5774950:3.14-en,Analysis,UAT Accepted,Single Choice,True,Na,skip,35,52,NonAttempt,-0.25,1.0,False,52.0,1610967334,0,47066,NonAttempt,EM5774950:3.14-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,34,ms117121,Quantitative Aptitude,EM5774950:4.14-en-b,Na,Na,EM5774950:4.14-en,Analysis,UAT Accepted,Single Choice,True,No,correct,40,41,OvertimeCorrect,-0.25,1.0,False,41.0,1610967386,1610967427,41,OvertimeCorrect,EM5774950:4.14-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,35,ms117121,Quantitative Aptitude,EM5774950:5.14-en-a,Na,Na,EM5774950:5.14-en,Analysis,UAT Accepted,Single Choice,True,No,incorrect,25,4,Wasted,-0.25,1.0,False,4.0,1610967427,1610967431,4,Wasted,EM5774950:5.14-en-e,Fighter,True,
